LPIPS Alex: 0.161084, LPIPS VGG: 0.297221, PSNR: 15.305937, SSIM: 0.384523, Noise Level: 1000
LPIPS Alex: 0.163289, LPIPS VGG: 0.291504, PSNR: 15.222529, SSIM: 0.385411, Noise Level: 1000
LPIPS Alex: 0.159642, LPIPS VGG: 0.286340, PSNR: 15.002191, SSIM: 0.380124, Noise Level: 1000
LPIPS Alex: 0.143017, LPIPS VGG: 0.194200, PSNR: 16.366669, SSIM: 0.503851, Noise Level: 1000
LPIPS Alex: 0.138522, LPIPS VGG: 0.189821, PSNR: 16.358501, SSIM: 0.505651, Noise Level: 1000
LPIPS Alex: 0.152482, LPIPS VGG: 0.205264, PSNR: 16.159249, SSIM: 0.484893, Noise Level: 1000
LPIPS Alex: 0.107463, LPIPS VGG: 0.148457, PSNR: 17.932334, SSIM: 0.592482, Noise Level: 1000
LPIPS Alex: 0.106630, LPIPS VGG: 0.147872, PSNR: 17.921549, SSIM: 0.587834, Noise Level: 1000
LPIPS Alex: 0.112602, LPIPS VGG: 0.154631, PSNR: 18.137784, SSIM: 0.607334, Noise Level: 1000
LPIPS Alex: 0.143773, LPIPS VGG: 0.189928, PSNR: 17.665849, SSIM: 0.555339, Noise Level: 1000
LPIPS Alex: 0.114682, LPIPS VGG: 0.147286, PSNR: 18.318143, SSIM: 0.620886, Noise Level: 1000
LPIPS Alex: 0.120156, LPIPS VGG: 0.143031, PSNR: 18.467709, SSIM: 0.612236, Noise Level: 1000
LPIPS Alex: 0.112665, LPIPS VGG: 0.150061, PSNR: 18.094558, SSIM: 0.598170, Noise Level: 1000
LPIPS Alex: 0.117232, LPIPS VGG: 0.141837, PSNR: 18.406034, SSIM: 0.621010, Noise Level: 1000
LPIPS Alex: 0.188206, LPIPS VGG: 0.217979, PSNR: 14.998662, SSIM: 0.517461, Noise Level: 5
LPIPS Alex: 0.465583, LPIPS VGG: 0.474019, PSNR: 9.792185, SSIM: 0.245223, Noise Level: 0
LPIPS Alex: 0.133072, LPIPS VGG: 0.166545, PSNR: 16.966011, SSIM: 0.554875, Noise Level: 10
LPIPS Alex: 0.706166, LPIPS VGG: 0.699669, PSNR: 3.345398, SSIM: 0.044161, Noise Level: -5
LPIPS Alex: 0.685662, LPIPS VGG: 0.702709, PSNR: 4.260656, SSIM: 0.046335, Noise Level: -5
LPIPS Alex: 0.736254, LPIPS VGG: 0.746796, PSNR: 3.442042, SSIM: 0.036831, Noise Level: -5
LPIPS Alex: 0.372891, LPIPS VGG: 0.396199, PSNR: 9.397781, SSIM: 0.311866, Noise Level: 100
LPIPS Alex: 0.112235, LPIPS VGG: 0.142110, PSNR: 18.394355, SSIM: 0.612525, Noise Level: 100
LPIPS Alex: 0.448236, LPIPS VGG: 0.466394, PSNR: 9.238889, SSIM: 0.250791, Noise Level: 0
LPIPS Alex: 0.139779, LPIPS VGG: 0.167548, PSNR: 17.182646, SSIM: 0.594810, Noise Level: 10
LPIPS Alex: 0.151666, LPIPS VGG: 0.198187, PSNR: 15.727194, SSIM: 0.499297, Noise Level: 7
LPIPS Alex: 0.736660, LPIPS VGG: 0.737766, PSNR: 3.217277, SSIM: 0.023126, Noise Level: -5
LPIPS Alex: 0.152019, LPIPS VGG: 0.187390, PSNR: 15.691424, SSIM: 0.515778, Noise Level: 7
LPIPS Alex: 0.320468, LPIPS VGG: 0.332208, PSNR: 11.099361, SSIM: 0.388364, Noise Level: 2
LPIPS Alex: 0.724499, LPIPS VGG: 0.670124, PSNR: 5.138886, SSIM: 0.080097, Noise Level: -5
LPIPS Alex: 0.595418, LPIPS VGG: 0.605133, PSNR: 6.739927, SSIM: 0.110136, Noise Level: -3
LPIPS Alex: 0.523802, LPIPS VGG: 0.520158, PSNR: 8.652270, SSIM: 0.187675, Noise Level: -1
LPIPS Alex: 0.403440, LPIPS VGG: 0.405997, PSNR: 11.481908, SSIM: 0.350241, Noise Level: 1
LPIPS Alex: 0.254669, LPIPS VGG: 0.287526, PSNR: 14.196635, SSIM: 0.461908, Noise Level: 3
LPIPS Alex: 0.169361, LPIPS VGG: 0.207949, PSNR: 15.347704, SSIM: 0.502922, Noise Level: 5
LPIPS Alex: 0.192522, LPIPS VGG: 0.213814, PSNR: 14.136739, SSIM: 0.498428, Noise Level: 7
LPIPS Alex: 0.152002, LPIPS VGG: 0.178551, PSNR: 16.093579, SSIM: 0.532399, Noise Level: 7
LPIPS Alex: 0.524080, LPIPS VGG: 0.500002, PSNR: 5.007267, SSIM: 0.233549, Noise Level: 7
LPIPS Alex: 0.527058, LPIPS VGG: 0.498067, PSNR: 4.986642, SSIM: 0.234268, Noise Level: 7
